epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,832.373,0.92085,3.03366,1.2915,0.93501,0.28593,0.39975,0.28336,0.89347,3.62367,1.34163,0.000366027,0.000366027,0.000366027
2,1569.63,0.9244,2.00085,1.26036,0.74442,0.36571,0.37843,0.24138,1.13143,3.13303,1.46079,0.000699911,0.000699911,0.000699911
3,2289.6,0.95999,1.73103,1.2793,0.64793,0.49184,0.4934,0.33518,1.03857,2.31626,1.44804,0.000997131,0.000997131,0.000997131
4,3001.94,0.98322,1.56793,1.30314,0.71442,0.46201,0.50264,0.35561,0.97896,2.16698,1.3883,0.000946016,0.000946016,0.000946016
5,3766.4,0.90011,1.32613,1.24237,0.80564,0.54275,0.56604,0.40429,0.90291,1.60262,1.34856,0.000891022,0.000891022,0.000891022
6,4488.07,0.87101,1.2069,1.23473,0.79097,0.53921,0.56207,0.40759,0.89083,1.41809,1.38365,0.000836027,0.000836027,0.000836027
7,5225.74,0.85237,1.09387,1.22486,0.80982,0.57141,0.59756,0.44953,0.82235,1.19293,1.2807,0.000781033,0.000781033,0.000781033
8,5964.25,0.85783,1.05336,1.21457,0.73971,0.55264,0.58063,0.42525,0.85242,1.28443,1.33235,0.000726038,0.000726038,0.000726038
9,6698.86,0.79266,0.97134,1.19068,0.78883,0.53429,0.58163,0.43628,0.83447,1.20506,1.27489,0.000671044,0.000671044,0.000671044
10,7450.76,0.80112,0.94557,1.18566,0.7629,0.52681,0.56781,0.44154,0.77399,1.1714,1.2524,0.000616049,0.000616049,0.000616049
11,8180.8,0.70346,0.94406,1.14795,0.77694,0.612,0.6218,0.47987,0.77446,0.96546,1.23664,0.000561055,0.000561055,0.000561055
12,8910.01,0.67764,0.8549,1.12767,0.80291,0.61225,0.61891,0.47197,0.78056,1.04613,1.22394,0.00050606,0.00050606,0.00050606
13,9651.49,0.65821,0.7955,1.10621,0.87671,0.57264,0.62913,0.48471,0.71828,0.8854,1.21697,0.000451066,0.000451066,0.000451066
14,10406.2,0.63535,0.76232,1.09331,0.84445,0.61066,0.65006,0.50891,0.73209,0.84824,1.19038,0.000396071,0.000396071,0.000396071
15,11172.9,0.60231,0.70541,1.07324,0.83064,0.59357,0.62818,0.49675,0.69532,0.8735,1.16901,0.000341077,0.000341077,0.000341077
16,11934.6,0.60461,0.67558,1.07379,0.87565,0.60816,0.65166,0.52565,0.69419,0.80604,1.16999,0.000286083,0.000286083,0.000286083
17,12693.6,0.56054,0.63337,1.03777,0.83884,0.59055,0.62546,0.50388,0.69294,0.81271,1.17745,0.000231088,0.000231088,0.000231088
18,13451,0.55746,0.59497,1.0479,0.89179,0.62006,0.66314,0.52724,0.67737,0.80277,1.161,0.000176094,0.000176094,0.000176094
19,14253.1,0.54561,0.57281,1.0345,0.88814,0.61344,0.65677,0.53213,0.67888,0.76682,1.16509,0.000121099,0.000121099,0.000121099
20,15036.5,0.52776,0.55572,1.03659,0.87642,0.61946,0.65808,0.53241,0.65058,0.74034,1.16096,6.61045e-05,6.61045e-05,6.61045e-05
